,Team,W,L,%,W,L,Home%,Market Size,Median Tix
1,Warriors,62,7,89.86%,32,0,100.00%,7,$362.00
2,Spurs,59,10,85.51%,35,0,100.00%,34,$179.00
3,Cavaliers,49,20,71.01%,28,6,82.35%,20,$80.00
4,Raptors,48,21,69.57%,28,8,77.78%,6,$89.00
5,Thunder,48,22,68.57%,27,9,75.00%,45,$202.00
6,Clippers,43,26,62.32%,22,12,64.71%,2,$109.00
7,Hawks,41,29,58.57%,23,12,65.71%,10,$69.00
8,Heat,40,29,57.97%,23,13,63.89%,17,$99.00
9,Celtics,40,30,57.14%,23,12,65.71%,8,$75.00
10,Grizzlies,40,30,57.14%,25,11,69.44%,51,$46.00
11,Hornets,39,30,56.52%,26,11,70.27%,25,$68.00
12,Pacers,36,33,52.17%,20,13,60.61%,28,$56.00
13,Bulls,35,33,51.47%,23,12,65.71%,3,$133.00
14,Pistons,36,34,51.43%,21,12,63.64%,13,$57.00
15,Trail Blazers,36,35,50.70%,21,12,63.64%,24,$125.00
16,Mavericks,35,35,50.00%,20,17,54.05%,5,$84.00
17,Rockets,35,35,50.00%,19,15,55.88%,11,$90.00
18,Wizards,34,35,49.28%,19,17,52.78%,9,$47.00
19,Jazz,34,36,48.57%,22,13,62.86%,35,$89.00
20,Bucks,30,40,42.86%,21,14,60.00%,36,$61.00
21,Magic,29,40,42.03%,18,17,51.43%,19,$60.00
22,Nuggets,29,41,41.43%,16,19,45.71%,18,$109.00
23,Knicks,28,43,39.44%,16,19,45.71%,1,$175.00
24,Kings,27,42,39.13%,14,20,41.18%,21,$90.00
25,Pelicans,26,43,37.68%,18,16,52.94%,52,$41.00
26,Timberwolves,22,47,31.88%,11,22,33.33%,16,$45.00
27,Nets,19,50,27.54%,12,23,34.29%,1,$103.00
28,Suns,19,50,27.54%,12,22,35.29%,12,$53.00
29,Lakers,14,55,20.29%,9,25,26.47%,2,$630.00
30,76ers,9,61,12.86%,6,30,16.67%,4,$41.00
