Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Houston Rockets,W,SW,65,17,.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37
2,Toronto Raptors,E,A,59,23,.720,7.78,114.60,106.56,8.03,7.30,114.50,106.96,7.54
3,Golden State Warriors,W,P,58,24,.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.70
4,Utah Jazz,W,NW,48,34,.585,4.30,109.07,104.56,4.51,4.47,108.92,104.24,4.68
5,Philadelphia 76ers,E,A,52,30,.634,4.50,110.28,105.77,4.51,4.30,110.12,105.81,4.31
6,Oklahoma City Thunder,W,NW,48,34,.585,3.41,111.48,108.02,3.47,3.42,111.50,108.03,3.47
7,Boston Celtics,E,A,55,27,.671,3.59,108.40,104.65,3.75,3.24,108.14,104.75,3.39
8,San Antonio Spurs,W,SW,47,35,.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12
9,Portland Trail Blazers,W,NW,49,33,.598,2.60,109.58,106.93,2.66,2.60,109.44,106.79,2.66
10,Minnesota Timberwolves,W,NW,47,35,.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.50
11,Denver Nuggets,W,NW,46,36,.561,1.48,113.02,111.40,1.62,1.57,113.21,111.50,1.71
12,New Orleans Pelicans,W,SW,48,34,.585,1.30,110.29,109.05,1.24,1.48,110.37,108.95,1.42
13,Indiana Pacers,E,C,48,34,.585,1.38,110.24,108.80,1.44,1.18,110.17,108.94,1.24
14,Cleveland Cavaliers,E,C,50,32,.610,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67
15,Washington Wizards,E,SE,43,39,.524,0.59,109.96,109.41,0.55,0.53,110.00,109.49,0.50
16,Miami Heat,E,SE,44,38,.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18
17,Los Angeles Clippers,W,P,42,40,.512,0.04,110.97,111.02,-0.05,0.15,111.06,111.00,0.07
18,Charlotte Hornets,E,SE,36,46,.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04
19,Detroit Pistons,E,C,39,43,.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.30
20,Milwaukee Bucks,E,C,44,38,.537,-0.30,110.67,110.98,-0.31,-0.45,110.70,111.16,-0.46
21,Los Angeles Lakers,W,P,35,47,.427,-1.55,107.10,108.64,-1.54,-1.43,106.96,108.39,-1.43
22,Dallas Mavericks,W,SW,24,58,.293,-3.04,106.92,110.00,-3.08,-2.70,106.96,109.70,-2.74
23,New York Knicks,E,A,29,53,.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61
24,Brooklyn Nets,E,A,28,54,.341,-3.74,107.71,111.51,-3.80,-3.67,107.83,111.55,-3.72
25,Orlando Magic,E,SE,25,57,.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11
26,Atlanta Hawks,E,SE,24,58,.293,-5.45,105.74,111.21,-5.47,-5.30,105.81,111.12,-5.31
27,Memphis Grizzlies,W,SW,22,60,.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15
28,Chicago Bulls,E,C,27,55,.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01
29,Sacramento Kings,W,P,27,55,.329,-6.99,104.47,111.90,-7.43,-6.59,104.60,111.62,-7.02
30,Phoenix Suns,W,P,21,61,.256,-9.37,104.25,113.51,-9.26,-8.80,104.50,113.19,-8.69
