New York Knicks,3600
Los Angeles Lakers,3300
Golden State Warriors,3100
Chicago Bulls,2600
Boston Celtics,2500
Brooklyn Nets,2300
Houston Rockets,2200
Los Angeles Clippers,2150
Dallas Mavericks,1900
Miami Heat,1700
San Antonio Spurs,1550
Toronto Raptors,1400
Sacramento Kings,1375
Washington Wizards,1350
Cleveland Cavaliers,1325
Portland Trail Blazers,1300
Phoenix Suns,1280
Oklahoma City Thunder,1250
Orlando Magic,1225
Utah Jazz,1200
Philadelphia 76ers,1180
Indiana Pacers,1175
Atlanta Hawks,1150
Denver Nuggets,1125
Detroit Pistons,1100
Milwaukee Bucks,1075
Minnesota Timberwolves,1060
Charlotte Hornets,1050
Memphis Grizzlies,1025
New Orleans Pelicans,1000
