Category: All categories

Day,Atlanta Hawks: (Worldwide),boston celtics: (Worldwide),brooklyn Nets: (Worldwide),Charlotte Bobcats: (Worldwide),Chicago Bulls: (Worldwide)
2016-10-20,7,13,7,<1,23
2016-10-21,7,10,7,1,25
2016-10-22,6,10,7,<1,20
2016-10-23,5,10,6,<1,22
2016-10-24,8,13,6,<1,21
2016-10-25,9,13,7,<1,27
2016-10-26,11,24,12,1,39
2016-10-27,18,34,15,1,45
2016-10-28,22,32,14,<1,100
2016-10-29,16,15,20,1,43
2016-10-30,14,21,18,1,64
2016-10-31,13,15,14,<1,45
2016-11-01,18,16,14,1,67
2016-11-02,14,16,9,<1,48
2016-11-03,14,29,17,1,63
2016-11-04,11,33,8,1,42
2016-11-05,18,15,11,1,73
2016-11-06,14,16,6,1,38
2016-11-07,9,18,6,<1,30
2016-11-08,13,11,9,1,37
2016-11-09,24,9,8,1,26
2016-11-10,23,17,13,<1,44
2016-11-11,10,12,7,1,50
2016-11-12,9,23,6,1,28
2016-11-13,14,19,12,1,40
2016-11-14,8,12,6,<1,26
2016-11-15,11,16,10,<1,26
2016-11-16,18,15,14,<1,45
2016-11-17,17,18,6,1,30
2016-11-18,12,14,6,<1,48
2016-11-19,16,30,9,<1,31
2016-11-20,12,18,8,<1,53
2016-11-21,7,13,6,<1,43
2016-11-22,11,18,5,<1,29
2016-11-23,19,15,5,1,40
2016-11-24,14,15,8,1,25
2016-11-25,8,19,7,<1,27
2016-11-26,10,12,6,1,42
2016-11-27,9,9,7,1,25
2016-11-28,15,13,5,<1,26
2016-11-29,19,18,6,1,28
2016-11-30,8,12,16,1,29
2016-12-01,12,15,9,<1,42
2016-12-02,12,12,9,1,32
2016-12-03,15,20,9,<1,83
2016-12-04,15,17,9,1,41
2016-12-05,9,11,7,<1,31
2016-12-06,17,20,8,<1,48
2016-12-07,8,13,9,1,37
2016-12-08,11,16,9,1,26
2016-12-09,7,16,5,1,44
2016-12-10,10,19,5,1,32
2016-12-11,7,14,9,1,43
2016-12-12,7,17,6,<1,24
2016-12-13,8,10,11,<1,28
2016-12-14,13,8,7,1,43
2016-12-15,7,16,11,<1,28
2016-12-16,8,15,7,1,38
2016-12-17,15,17,9,1,38
2016-12-18,15,14,7,<1,25
2016-12-19,7,15,7,<1,25
2016-12-20,12,12,6,1,36
2016-12-21,8,18,11,1,28
2016-12-22,11,14,9,<1,34
2016-12-23,5,21,16,<1,27
2016-12-24,8,23,10,1,34
2016-12-25,11,44,7,<1,56
2016-12-26,7,15,7,<1,43
2016-12-27,10,16,10,<1,35
2016-12-28,10,22,7,1,27
2016-12-29,18,17,12,1,42
2016-12-30,10,32,5,1,34
2016-12-31,13,26,6,<1,31
2017-01-01,10,13,5,1,40
2017-01-02,18,12,7,1,27
2017-01-03,8,15,6,<1,42
2017-01-04,8,22,5,1,26
2017-01-05,12,13,7,<1,59
2017-01-06,26,14,10,1,28
2017-01-07,16,25,11,0,30
2017-01-08,15,23,12,<1,45
2017-01-09,11,13,7,1,34
2017-01-10,10,16,6,1,44
2017-01-11,12,21,7,<1,36
2017-01-12,10,23,7,1,30
2017-01-13,13,17,9,1,39
2017-01-14,25,27,7,1,32
2017-01-15,17,13,7,1,35
2017-01-16,18,13,7,<1,35
2017-01-17,10,22,5,1,27
2017-01-18,7,17,9,<1,39
2017-01-19,11,21,5,1,24
2017-01-20,9,10,5,<1,23
2017-01-21,13,19,12,1,37
2017-01-22,16,22,6,1,37
2017-01-23,13,11,6,<1,24
2017-01-24,12,16,7,1,25
2017-01-25,6,22,6,1,35
2017-01-26,11,22,8,2,46
2017-01-27,12,15,6,<1,42
2017-01-28,15,25,11,1,51
2017-01-29,23,28,8,1,31
2017-01-30,13,16,5,<1,32
2017-01-31,7,29,6,<1,26
2017-02-01,8,22,5,1,26
2017-02-02,11,35,7,1,39
2017-02-03,18,20,8,<1,29
2017-02-04,10,37,7,1,43
2017-02-05,13,39,8,<1,24
2017-02-06,18,24,6,<1,23
2017-02-07,11,20,9,<1,39
2017-02-08,10,18,9,1,28
2017-02-09,12,26,9,<1,47
2017-02-10,8,33,6,<1,23
2017-02-11,14,20,9,1,42
2017-02-12,8,31,5,1,45
2017-02-13,7,20,7,<1,31
2017-02-14,12,27,8,<1,30
2017-02-15,7,23,6,<1,40
2017-02-16,9,38,9,1,27
2017-02-17,5,37,5,<1,44
2017-02-18,7,17,4,<1,25
2017-02-19,8,18,5,1,25
2017-02-20,8,29,6,1,28
2017-02-21,8,44,6,1,27
2017-02-22,9,47,9,1,28
2017-02-23,12,66,9,<1,59
2017-02-24,11,27,8,1,43
2017-02-25,15,35,12,1,54
2017-02-26,9,21,14,1,61
2017-02-27,8,27,6,1,28
2017-02-28,12,27,4,<1,30
2017-03-01,9,18,8,1,34
2017-03-02,11,43,10,1,27
2017-03-03,12,20,6,1,61
2017-03-04,21,27,8,1,27
2017-03-05,15,22,9,1,40
2017-03-06,11,22,4,1,22
2017-03-07,22,23,9,1,31
2017-03-08,7,14,7,1,23
2017-03-09,14,39,6,<1,30
2017-03-10,8,20,4,<1,27
2017-03-11,13,26,9,<1,30
2017-03-12,11,30,9,1,38
2017-03-13,9,17,10,1,23
2017-03-14,12,16,10,1,28
2017-03-15,8,16,9,<1,25
2017-03-16,10,22,6,<1,32
2017-03-17,7,15,11,1,20
2017-03-18,9,25,9,1,26
2017-03-19,9,24,9,<1,28
2017-03-20,6,18,5,<1,22
2017-03-21,7,25,7,<1,27
2017-03-22,6,15,7,1,44
2017-03-23,8,20,8,<1,31
2017-03-24,6,17,10,<1,21
2017-03-25,8,33,7,1,26
2017-03-26,12,27,10,1,31
2017-03-27,8,25,7,<1,24
2017-03-28,7,26,7,<1,19
2017-03-29,10,22,6,<1,20
2017-03-30,8,28,5,<1,22
2017-03-31,5,21,5,<1,48
2017-04-01,8,34,8,<1,38
2017-04-02,10,34,9,<1,39
2017-04-03,7,18,6,1,35
2017-04-04,6,19,6,<1,23
2017-04-05,6,22,11,<1,32
2017-04-06,10,46,6,1,29
2017-04-07,20,26,7,<1,29
2017-04-08,19,23,11,1,41
2017-04-09,27,26,9,1,34
2017-04-10,19,25,6,<1,25
2017-04-11,14,34,8,<1,55
2017-04-12,21,21,6,<1,36
