Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2016-10-20,4,11,6,2,4
2016-10-21,5,10,4,3,3
2016-10-22,3,12,4,2,4
2016-10-23,5,12,5,3,4
2016-10-24,4,17,4,3,4
2016-10-25,5,40,4,4,7
2016-10-26,7,84,9,6,7
2016-10-27,11,27,13,6,12
2016-10-28,15,23,7,3,6
2016-10-29,13,52,12,6,10
2016-10-30,8,40,6,12,7
2016-10-31,9,24,10,4,8
2016-11-01,12,32,6,5,7
2016-11-02,9,45,6,3,11
2016-11-03,12,30,10,5,6
2016-11-04,9,50,7,5,6
2016-11-05,10,30,12,5,6
2016-11-06,11,43,9,5,8
2016-11-07,5,20,12,6,5
2016-11-08,7,22,6,4,7
2016-11-09,15,40,9,4,4
2016-11-10,12,22,14,5,7
2016-11-11,8,20,6,9,5
2016-11-12,8,40,5,4,7
2016-11-13,10,34,5,6,6
2016-11-14,6,21,5,5,5
2016-11-15,7,19,8,4,7
2016-11-16,12,42,6,4,4
2016-11-17,13,37,7,5,6
2016-11-18,7,19,6,4,4
2016-11-19,10,33,9,7,9
2016-11-20,9,17,7,4,5
2016-11-21,6,13,5,5,7
2016-11-22,6,14,10,4,12
2016-11-23,11,17,7,8,7
2016-11-24,9,45,9,5,10
2016-11-25,6,18,5,2,4
2016-11-26,7,41,11,8,8
2016-11-27,6,35,6,4,7
2016-11-28,10,23,7,3,4
2016-11-29,13,18,5,3,5
2016-11-30,6,39,5,4,8
2016-12-01,9,17,9,4,8
2016-12-02,6,42,9,3,5
2016-12-03,11,40,7,8,9
2016-12-04,11,18,10,4,7
2016-12-05,7,16,6,3,6
2016-12-06,11,35,6,5,5
2016-12-07,4,17,6,3,10
2016-12-08,9,33,7,5,5
2016-12-09,4,17,6,5,5
2016-12-10,7,33,10,3,7
2016-12-11,5,33,8,4,6
2016-12-12,5,18,5,3,6
2016-12-13,6,16,7,4,4
2016-12-14,7,35,6,3,5
2016-12-15,4,27,7,4,6
2016-12-16,5,15,4,6,4
2016-12-17,10,17,10,3,7
2016-12-18,8,31,8,6,6
2016-12-19,6,15,6,4,5
2016-12-20,8,14,7,5,8
2016-12-21,5,35,4,5,5
2016-12-22,7,27,8,3,7
2016-12-23,4,19,5,4,5
2016-12-24,8,37,12,6,13
2016-12-25,6,100,5,3,6
2016-12-26,5,53,6,3,7
2016-12-27,6,33,8,5,10
2016-12-28,6,17,12,3,5
2016-12-29,10,17,7,4,7
2016-12-30,5,35,10,4,3
2016-12-31,8,19,12,6,7
2017-01-01,8,32,5,3,5
2017-01-02,11,18,3,3,5
2017-01-03,5,27,5,8,3
2017-01-04,7,16,9,5,6
2017-01-05,8,38,6,4,4
2017-01-06,18,37,7,5,6
2017-01-07,12,41,5,4,5
2017-01-08,12,26,7,5,7
2017-01-09,6,37,6,3,6
2017-01-10,6,24,6,3,4
2017-01-11,7,45,4,4,4
2017-01-12,7,37,6,9,5
2017-01-13,8,20,9,5,12
2017-01-14,20,34,6,3,8
2017-01-15,11,22,8,3,4
2017-01-16,13,27,5,4,6
2017-01-17,7,73,6,6,4
2017-01-18,5,19,7,7,3
2017-01-19,7,20,5,4,6
2017-01-20,6,29,8,5,4
2017-01-21,10,20,8,5,8
2017-01-22,11,51,9,7,8
2017-01-23,9,17,6,4,4
2017-01-24,7,39,5,4,5
2017-01-25,5,20,4,6,3
2017-01-26,9,46,8,5,4
2017-01-27,7,22,11,7,3
2017-01-28,10,32,5,4,5
2017-01-29,13,40,7,6,7
2017-01-30,9,28,10,4,2
2017-01-31,4,39,16,4,7
2017-02-01,5,21,8,7,4
2017-02-02,7,39,12,5,5
2017-02-03,14,23,8,5,5
2017-02-04,8,21,20,8,8
2017-02-05,10,37,10,5,6
2017-02-06,11,20,7,4,4
2017-02-07,7,56,12,6,6
2017-02-08,5,22,11,4,6
2017-02-09,8,46,6,4,7
2017-02-10,6,48,13,4,6
2017-02-11,8,24,8,9,7
2017-02-12,6,37,12,11,7
2017-02-13,5,19,9,8,7
2017-02-14,9,23,10,23,6
2017-02-15,5,42,6,8,6
2017-02-16,6,36,9,9,8
2017-02-17,5,18,5,4,7
2017-02-18,4,13,6,5,6
2017-02-19,4,14,5,5,4
2017-02-20,5,19,6,4,6
2017-02-21,5,21,7,5,8
2017-02-22,7,22,7,5,8
2017-02-23,10,37,14,9,12
2017-02-24,9,44,13,9,9
2017-02-25,10,35,12,7,7
2017-02-26,7,46,15,6,7
2017-02-27,5,33,9,5,9
2017-02-28,10,44,13,4,6
2017-03-01,6,35,9,6,7
2017-03-02,9,46,10,6,6
2017-03-03,7,27,8,3,4
2017-03-04,15,43,12,4,5
2017-03-05,11,40,9,6,7
2017-03-06,8,21,17,2,5
2017-03-07,12,44,10,5,8
2017-03-08,7,21,17,5,4
2017-03-09,7,23,8,6,8
2017-03-10,4,36,8,5,10
2017-03-11,10,23,13,9,7
2017-03-12,7,39,11,6,7
2017-03-13,6,41,7,5,4
2017-03-14,8,23,8,10,5
2017-03-15,5,31,6,4,6
2017-03-16,6,22,10,4,5
2017-03-17,6,29,7,9,5
2017-03-18,7,20,7,4,6
2017-03-19,6,39,7,7,6
2017-03-20,5,34,6,4,4
2017-03-21,5,16,8,7,4
2017-03-22,6,15,11,5,6
2017-03-23,7,35,5,11,5
2017-03-24,5,19,11,5,5
2017-03-25,5,33,8,7,5
2017-03-26,8,38,8,7,5
2017-03-27,5,20,6,7,5
2017-03-28,5,40,9,3,7
2017-03-29,8,16,4,7,5
2017-03-30,5,20,5,4,5
2017-03-31,4,43,7,5,7
2017-04-01,7,30,7,6,6
2017-04-02,7,25,6,5,5
2017-04-03,5,34,5,5,3
2017-04-04,4,19,4,3,3
2017-04-05,4,32,7,7,5
2017-04-06,7,43,7,6,6
2017-04-07,12,22,4,5,3
2017-04-08,14,37,8,8,8
2017-04-09,17,43,7,14,5
2017-04-10,12,35,6,8,7
2017-04-11,9,45,15,3,11
2017-04-12,12,24,19,5,5
