Category: All categories

Day,Atlanta Hawks: (Worldwide),Golden State Warriors: (Worldwide),Houston Rockets: (Worldwide),Indiana Pacers: (Worldwide),LA Clippers: (Worldwide)
2016-10-20,3,12,4,1,1
2016-10-21,3,9,3,1,1
2016-10-22,2,16,3,1,1
2016-10-23,3,10,3,1,1
2016-10-24,2,13,3,1,1
2016-10-25,3,24,4,2,1
2016-10-26,4,84,7,3,1
2016-10-27,6,23,13,4,2
2016-10-28,9,19,5,3,4
2016-10-29,7,49,8,3,2
2016-10-30,5,35,4,2,2
2016-10-31,5,33,9,1,2
2016-11-01,7,21,9,2,3
2016-11-02,5,43,8,3,2
2016-11-03,7,26,8,2,3
2016-11-04,5,71,4,2,1
2016-11-05,6,56,5,2,2
2016-11-06,6,21,5,2,2
2016-11-07,3,18,4,2,1
2016-11-08,4,40,6,2,3
2016-11-09,9,16,3,1,2
2016-11-10,7,37,8,2,3
2016-11-11,5,35,5,2,2
2016-11-12,5,22,4,3,3
2016-11-13,6,19,8,2,3
2016-11-14,3,36,4,2,3
2016-11-15,4,18,6,2,3
2016-11-16,7,19,4,2,2
2016-11-17,7,44,8,3,5
2016-11-18,4,17,7,2,2
2016-11-19,6,38,6,2,3
2016-11-20,5,44,6,2,4
2016-11-21,4,19,4,3,2
2016-11-22,4,34,5,4,3
2016-11-23,6,17,4,1,2
2016-11-24,5,48,6,1,3
2016-11-25,4,21,3,2,2
2016-11-26,4,47,6,2,3
2016-11-27,3,41,4,2,2
2016-11-28,6,21,6,2,2
2016-11-29,7,38,4,1,2
2016-11-30,3,20,6,1,4
2016-12-01,5,20,4,2,1
2016-12-02,3,56,19,2,5
2016-12-03,6,24,12,1,2
2016-12-04,7,39,5,1,2
2016-12-05,4,18,5,3,3
2016-12-06,6,46,10,5,1
2016-12-07,2,22,4,2,2
2016-12-08,5,51,9,2,5
2016-12-09,2,40,6,1,2
2016-12-10,4,22,11,2,1
2016-12-11,3,49,9,2,2
2016-12-12,3,36,5,1,1
2016-12-13,3,18,9,2,2
2016-12-14,4,35,5,2,1
2016-12-15,2,17,9,3,1
2016-12-16,3,33,5,2,1
2016-12-17,6,20,11,2,1
2016-12-18,4,36,13,2,2
2016-12-19,4,16,6,1,1
2016-12-20,5,16,9,2,1
2016-12-21,3,32,12,2,3
2016-12-22,4,21,8,2,1
2016-12-23,2,41,5,2,4
2016-12-24,5,40,8,1,3
2016-12-25,4,100,7,1,2
2016-12-26,3,38,5,2,5
2016-12-27,4,20,9,2,2
2016-12-28,3,18,11,2,2
2016-12-29,6,39,5,2,2
2016-12-30,3,20,5,3,1
2016-12-31,5,35,14,1,2
2017-01-01,5,15,15,2,2
2017-01-02,6,16,6,2,1
2017-01-03,3,31,10,1,3
2017-01-04,4,17,5,2,2
2017-01-05,4,36,6,2,2
2017-01-06,11,18,16,3,1
2017-01-07,7,50,10,2,2
2017-01-08,7,22,8,3,2
2017-01-09,4,31,12,1,1
2017-01-10,4,16,7,2,1
2017-01-11,4,32,12,2,1
2017-01-12,4,18,11,3,2
2017-01-13,5,31,7,1,1
2017-01-14,11,19,9,2,2
2017-01-15,6,17,6,1,1
2017-01-16,7,22,7,2,2
2017-01-17,4,81,6,1,3
2017-01-18,3,22,7,2,1
2017-01-19,4,53,9,2,2
2017-01-20,4,22,8,2,3
2017-01-21,6,43,16,4,1
2017-01-22,6,42,9,2,2
2017-01-23,5,19,5,1,1
2017-01-24,4,38,7,2,2
2017-01-25,3,18,4,1,2
2017-01-26,5,34,7,2,2
2017-01-27,4,16,4,3,2
2017-01-28,6,22,11,2,3
2017-01-29,8,57,5,2,5
2017-01-30,5,37,6,2,2
2017-01-31,2,16,4,1,2
2017-02-01,3,16,7,1,1
2017-02-02,4,38,5,2,2
2017-02-03,8,36,9,1,3
2017-02-04,5,21,10,3,1
2017-02-05,6,46,4,2,4
2017-02-06,7,16,4,2,1
2017-02-07,4,16,5,2,2
2017-02-08,3,16,7,2,2
2017-02-09,5,35,5,3,2
2017-02-10,3,21,7,2,1
2017-02-11,4,43,5,3,2
2017-02-12,3,77,8,2,1
2017-02-13,3,18,4,1,1
2017-02-14,5,38,5,2,1
2017-02-15,3,17,5,2,1
2017-02-16,3,30,6,3,2
2017-02-17,3,14,4,2,1
2017-02-18,3,12,3,2,1
2017-02-19,2,9,5,2,1
2017-02-20,3,11,5,2,1
2017-02-21,3,10,5,2,1
2017-02-22,4,12,11,3,1
2017-02-23,6,13,10,3,2
2017-02-24,5,40,15,2,5
2017-02-25,6,18,7,2,3
2017-02-26,4,35,11,2,1
2017-02-27,3,17,7,2,2
2017-02-28,6,31,9,3,1
2017-03-01,4,41,5,1,1
2017-03-02,5,24,11,2,2
2017-03-03,4,39,6,1,1
2017-03-04,9,18,5,1,2
2017-03-05,6,33,10,2,2
2017-03-06,4,22,6,2,1
2017-03-07,7,29,9,2,3
2017-03-08,4,15,4,1,1
2017-03-09,4,34,7,2,2
2017-03-10,2,16,4,1,1
2017-03-11,6,43,8,2,2
2017-03-12,4,41,7,2,1
2017-03-13,3,14,14,2,1
2017-03-14,5,17,5,2,1
2017-03-15,3,33,6,2,1
2017-03-16,4,16,8,1,3
2017-03-17,3,29,6,1,1
2017-03-18,4,17,7,1,2
2017-03-19,3,34,8,2,3
2017-03-20,3,18,5,2,1
2017-03-21,3,41,8,2,2
2017-03-22,3,29,5,1,2
2017-03-23,4,16,4,1,1
2017-03-24,3,14,4,2,2
2017-03-25,3,31,9,1,2
2017-03-26,4,20,12,1,2
2017-03-27,3,30,7,1,2
2017-03-28,3,18,7,1,1
2017-03-29,5,39,13,3,1
2017-03-30,3,48,6,2,2
2017-03-31,2,18,10,3,1
2017-04-01,4,41,12,2,2
2017-04-02,4,22,6,2,1
2017-04-03,3,32,7,3,1
2017-04-04,2,18,4,2,1
2017-04-05,2,36,5,4,1
2017-04-06,4,34,8,3,3
2017-04-07,7,16,4,3,1
2017-04-08,8,20,8,2,1
2017-04-09,10,42,8,3,3
2017-04-10,7,19,7,3,1
2017-04-11,5,33,9,5,2
2017-04-12,7,16,6,4,1
