Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2016-10-20,8,7,9,10,11
2016-10-21,9,7,8,9,7
2016-10-22,6,8,15,9,7
2016-10-23,9,7,11,10,8
2016-10-24,8,7,10,10,9
2016-10-25,10,11,25,14,15
2016-10-26,14,15,100,20,27
2016-10-27,21,30,32,31,9
2016-10-28,28,39,49,27,14
2016-10-29,24,14,27,32,24
2016-10-30,15,30,52,16,20
2016-10-31,16,15,32,15,11
2016-11-01,24,16,22,22,12
2016-11-02,17,18,38,16,23
2016-11-03,23,16,21,22,19
2016-11-04,17,15,23,16,15
2016-11-05,20,10,38,26,25
2016-11-06,20,16,31,20,22
2016-11-07,10,12,11,22,17
2016-11-08,13,8,13,11,16
2016-11-09,29,12,14,10,9
2016-11-10,24,13,30,28,14
2016-11-11,15,28,17,13,10
2016-11-12,16,17,33,30,20
2016-11-13,20,7,30,56,16
2016-11-14,11,10,14,18,12
2016-11-15,14,9,25,17,15
2016-11-16,23,11,16,33,7
2016-11-17,24,17,28,48,13
2016-11-18,14,9,15,15,23
2016-11-19,18,21,28,24,14
2016-11-20,17,12,15,18,13
2016-11-21,12,19,12,30,12
2016-11-22,12,9,29,27,5
2016-11-23,21,9,14,12,6
2016-11-24,17,16,27,18,15
2016-11-25,12,11,28,14,10
2016-11-26,13,18,20,23,16
2016-11-27,11,10,27,13,7
2016-11-28,18,13,14,12,9
2016-11-29,25,16,13,21,19
2016-11-30,11,7,27,13,21
2016-12-01,16,23,24,26,12
2016-12-02,11,7,14,16,16
2016-12-03,21,13,30,24,10
2016-12-04,22,10,15,29,16
2016-12-05,14,11,10,17,9
2016-12-06,21,8,31,35,24
2016-12-07,8,8,28,14,21
2016-12-08,18,15,20,15,16
2016-12-09,7,11,31,37,30
2016-12-10,14,15,15,28,14
2016-12-11,9,9,26,17,18
2016-12-12,9,9,11,16,10
2016-12-13,11,16,11,23,8
2016-12-14,13,8,15,12,13
2016-12-15,7,11,31,19,24
2016-12-16,10,8,22,13,14
2016-12-17,19,11,16,26,33
2016-12-18,15,8,20,18,15
2016-12-19,12,8,29,21,19
2016-12-20,16,7,14,15,16
2016-12-21,10,20,28,25,32
2016-12-22,13,16,17,11,21
2016-12-23,8,10,32,15,11
2016-12-24,15,15,27,26,18
2016-12-25,12,13,38,15,9
2016-12-26,10,11,28,14,7
2016-12-27,12,22,15,23,12
2016-12-28,11,10,16,14,23
2016-12-29,19,15,25,34,11
2016-12-30,10,10,16,23,22
2016-12-31,15,17,30,12,13
2017-01-01,15,10,17,11,24
2017-01-02,21,8,23,25,11
2017-01-03,10,9,13,14,21
2017-01-04,14,14,22,24,20
2017-01-05,15,15,14,14,11
2017-01-06,35,12,24,27,21
2017-01-07,23,18,18,17,12
2017-01-08,24,12,27,37,21
2017-01-09,12,23,13,22,17
2017-01-10,12,9,13,14,12
2017-01-11,13,15,23,36,33
2017-01-12,13,9,15,14,14
2017-01-13,15,11,25,15,13
2017-01-14,37,17,17,19,32
2017-01-15,20,12,21,29,29
2017-01-16,24,10,10,14,18
2017-01-17,14,9,14,15,21
2017-01-18,10,7,19,25,12
2017-01-19,13,18,14,18,9
2017-01-20,12,10,22,12,12
2017-01-21,19,10,20,21,25
2017-01-22,21,11,65,17,25
2017-01-23,16,6,20,18,23
2017-01-24,13,7,26,14,29
2017-01-25,10,11,30,19,19
2017-01-26,18,25,14,18,11
2017-01-27,13,12,12,13,33
2017-01-28,18,19,25,22,14
2017-01-29,25,11,16,14,24
2017-01-30,16,11,23,17,9
2017-01-31,8,12,15,13,9
2017-02-01,9,13,28,23,11
2017-02-02,14,7,14,22,18
2017-02-03,27,11,24,12,12
2017-02-04,15,15,14,20,11
2017-02-05,19,37,24,20,20
2017-02-06,22,12,14,14,12
2017-02-07,13,18,28,20,19
2017-02-08,10,10,12,12,13
2017-02-09,15,21,18,18,20
2017-02-10,11,8,11,12,24
2017-02-11,14,21,19,13,12
2017-02-12,11,14,34,17,24
2017-02-13,10,23,16,19,12
2017-02-14,18,9,21,34,16
2017-02-15,9,23,15,36,10
2017-02-16,11,20,19,33,18
2017-02-17,9,9,11,15,8
2017-02-18,8,8,8,11,9
2017-02-19,7,7,11,11,9
2017-02-20,10,76,9,12,12
2017-02-21,10,41,11,13,12
2017-02-22,13,25,8,17,16
2017-02-23,19,23,11,24,21
2017-02-24,17,41,13,28,15
2017-02-25,20,22,30,54,23
2017-02-26,14,17,23,26,15
2017-02-27,9,16,16,27,16
2017-02-28,19,17,14,25,17
2017-03-01,12,9,16,15,17
2017-03-02,16,14,23,22,22
2017-03-03,14,8,17,15,10
2017-03-04,29,10,40,28,19
2017-03-05,21,10,30,22,15
2017-03-06,14,19,17,10,23
2017-03-07,23,11,35,13,19
2017-03-08,12,9,19,10,11
2017-03-09,13,11,39,22,26
2017-03-10,8,8,35,12,9
2017-03-11,19,19,26,22,24
2017-03-12,13,13,49,21,14
2017-03-13,11,7,18,14,13
2017-03-14,15,11,36,16,24
2017-03-15,10,7,26,12,12
2017-03-16,12,12,31,14,25
2017-03-17,11,7,13,17,21
2017-03-18,13,12,20,18,13
2017-03-19,11,8,29,14,16
2017-03-20,10,8,20,16,11
2017-03-21,10,7,15,24,13
2017-03-22,11,9,29,53,12
2017-03-23,13,9,16,19,30
2017-03-24,9,6,25,25,9
2017-03-25,10,14,19,15,19
2017-03-26,14,12,28,22,10
2017-03-27,10,13,19,17,18
2017-03-28,9,15,41,26,26
2017-03-29,15,8,24,16,11
2017-03-30,9,12,53,20,20
2017-03-31,7,7,16,15,14
2017-04-01,14,11,38,21,24
2017-04-02,13,12,34,20,25
2017-04-03,10,7,18,16,11
2017-04-04,7,7,16,13,11
2017-04-05,8,12,33,24,20
2017-04-06,12,6,26,27,10
2017-04-07,22,5,14,19,11
2017-04-08,26,11,32,29,24
2017-04-09,32,9,30,32,26
2017-04-10,24,8,14,15,14
2017-04-11,17,8,24,20,34
2017-04-12,24,13,14,20,16
