Category: All categories

Day,Atlanta Hawks: (Worldwide),LA Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2017-10-12,5,4,5,17,3
2017-10-13,5,4,3,13,4
2017-10-14,4,7,3,18,6
2017-10-15,4,4,2,13,5
2017-10-16,4,4,3,13,4
2017-10-17,5,6,3,14,5
2017-10-18,7,7,5,23,12
2017-10-19,11,11,8,22,17
2017-10-20,7,28,4,15,15
2017-10-21,7,20,6,18,22
2017-10-22,9,9,16,25,17
2017-10-23,8,14,6,16,13
2017-10-24,7,7,13,24,18
2017-10-25,4,8,6,19,9
2017-10-26,6,24,8,26,13
2017-10-27,8,8,7,12,28
2017-10-28,7,11,5,17,7
2017-10-29,9,9,9,20,13
2017-10-30,6,6,6,15,8
2017-10-31,5,6,7,20,10
2017-11-01,6,11,5,14,15
2017-11-02,7,7,6,20,10
2017-11-03,5,13,3,14,8
2017-11-04,6,12,6,20,8
2017-11-05,12,7,5,21,5
2017-11-06,9,10,7,19,5
2017-11-07,10,6,3,25,19
2017-11-08,4,7,5,14,21
2017-11-09,3,11,3,20,9
2017-11-10,4,8,3,13,9
2017-11-11,7,6,4,20,21
2017-11-12,5,9,5,20,15
2017-11-13,4,5,3,13,8
2017-11-14,6,8,5,12,14
2017-11-15,5,6,3,16,8
2017-11-16,7,11,4,19,14
2017-11-17,6,5,3,12,7
2017-11-18,6,11,3,20,7
2017-11-19,10,5,4,23,11
2017-11-20,4,8,3,16,6
2017-11-21,6,6,4,11,9
2017-11-22,4,11,2,15,6
2017-11-23,5,9,4,31,11
2017-11-24,5,4,3,14,5
2017-11-25,7,4,3,22,6
2017-11-26,7,5,4,20,9
2017-11-27,4,4,9,15,6
2017-11-28,4,7,9,17,6
2017-11-29,4,5,5,25,9
2017-11-30,6,12,5,17,6
2017-12-01,10,4,4,12,11
2017-12-02,5,6,6,19,6
2017-12-03,4,7,7,17,10
2017-12-04,4,7,3,20,6
2017-12-05,5,4,4,11,9
2017-12-06,4,4,3,10,7
2017-12-07,5,5,4,16,10
2017-12-08,4,10,3,10,7
2017-12-09,5,6,6,14,13
2017-12-10,6,7,6,18,12
2017-12-11,6,4,4,12,6
2017-12-12,4,5,4,17,6
2017-12-13,7,10,3,12,6
2017-12-14,5,5,3,18,9
2017-12-15,6,12,3,12,7
2017-12-16,5,5,5,19,11
2017-12-17,4,4,6,22,10
2017-12-18,4,5,3,14,5
2017-12-19,8,15,2,19,8
2017-12-20,4,5,3,13,19
2017-12-21,6,11,6,23,9
2017-12-22,4,6,4,16,9
2017-12-23,7,11,3,26,14
2017-12-24,7,9,4,19,10
2017-12-25,5,5,2,13,7
2017-12-26,4,10,3,16,9
2017-12-27,5,5,6,23,12
2017-12-28,7,7,5,18,9
2017-12-29,5,6,3,18,15
2017-12-30,9,7,3,23,16
2017-12-31,6,4,8,20,7
2018-01-01,4,9,3,14,7
2018-01-02,5,6,3,13,11
2018-01-03,6,4,5,15,7
2018-01-04,4,8,2,23,10
2018-01-05,4,5,3,15,8
2018-01-06,6,8,7,30,13
2018-01-07,5,6,2,27,9
2018-01-08,7,8,2,17,7
2018-01-09,6,6,2,17,8
2018-01-10,4,9,3,35,7
2018-01-11,5,6,4,33,10
2018-01-12,4,9,2,21,8
2018-01-13,6,8,4,20,19
2018-01-14,5,7,3,34,11
2018-01-15,6,6,5,32,10
2018-01-16,5,7,6,17,6
2018-01-17,4,5,3,15,8
2018-01-18,6,6,4,27,9
2018-01-19,5,4,3,21,5
2018-01-20,7,6,6,27,6
2018-01-21,5,7,3,32,8
2018-01-22,4,6,3,19,13
2018-01-23,5,5,4,30,19
2018-01-24,5,9,2,28,8
2018-01-25,6,5,3,26,7
2018-01-26,4,6,2,35,8
2018-01-27,8,7,3,20,13
2018-01-28,5,6,3,34,12
2018-01-29,5,6,3,18,9
2018-01-30,7,5,3,30,14
2018-01-31,5,5,4,23,8
2018-02-01,5,6,4,38,9
2018-02-02,4,4,4,21,13
2018-02-03,6,6,3,33,16
2018-02-04,5,8,3,26,12
2018-02-05,4,5,2,17,8
2018-02-06,4,6,3,28,9
2018-02-07,7,8,4,22,15
2018-02-08,10,14,5,64,11
2018-02-09,9,16,3,69,8
2018-02-10,11,10,2,100,15
2018-02-11,9,15,4,39,11
2018-02-12,5,7,3,29,6
2018-02-13,5,5,2,28,8
2018-02-14,6,5,3,37,11
2018-02-15,5,8,3,29,7
2018-02-16,3,7,2,17,12
2018-02-17,3,4,2,15,5
2018-02-18,3,5,1,19,4
2018-02-19,3,4,2,15,5
2018-02-20,3,3,1,13,4
2018-02-21,3,4,2,13,5
2018-02-22,3,4,1,14,4
2018-02-23,4,4,3,18,5
2018-02-24,4,10,6,32,14
2018-02-25,3,8,4,28,13
2018-02-26,4,5,2,16,6
2018-02-27,7,8,3,17,7
2018-02-28,4,5,2,47,15
2018-03-01,7,6,3,25,9
2018-03-02,5,9,2,34,7
2018-03-03,8,5,4,20,9
2018-03-04,9,11,3,33,7
2018-03-05,4,6,2,18,14
2018-03-06,4,9,4,29,8
2018-03-07,6,4,3,27,5
2018-03-08,3,8,3,22,11
2018-03-09,3,5,3,34,6
2018-03-10,4,7,3,21,9
2018-03-11,7,7,5,38,6
2018-03-12,4,11,3,19,6
2018-03-13,4,5,3,28,10
2018-03-14,5,10,3,16,7
2018-03-15,3,9,2,26,7
2018-03-16,4,5,4,15,4
2018-03-17,4,6,2,31,8
2018-03-18,4,4,3,17,7
