Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Hornets: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2017-10-12,20,12,<1,20,13
2017-10-13,19,14,1,15,10
2017-10-14,16,13,0,29,8
2017-10-15,12,8,0,15,9
2017-10-16,13,12,<1,19,11
2017-10-17,20,16,1,20,12
2017-10-18,24,27,1,19,25
2017-10-19,40,52,1,35,28
2017-10-20,24,21,1,63,79
2017-10-21,30,39,3,25,18
2017-10-22,28,26,1,38,67
2017-10-23,22,45,1,22,48
2017-10-24,24,21,1,28,15
2017-10-25,15,29,1,33,15
2017-10-26,23,25,2,18,38
2017-10-27,32,15,2,30,16
2017-10-28,24,39,<1,41,74
2017-10-29,31,17,1,33,46
2017-10-30,21,16,2,52,23
2017-10-31,16,27,<1,47,15
2017-11-01,18,15,1,29,46
2017-11-02,25,29,1,38,15
2017-11-03,16,15,1,23,18
2017-11-04,26,17,1,40,50
2017-11-05,42,27,1,23,14
2017-11-06,35,29,1,49,34
2017-11-07,35,15,1,30,11
2017-11-08,18,20,1,69,31
2017-11-09,13,45,1,45,14
2017-11-10,15,12,1,22,40
2017-11-11,23,13,1,22,44
2017-11-12,18,24,1,58,15
2017-11-13,13,12,1,36,30
2017-11-14,20,21,<1,84,15
2017-11-15,17,12,1,28,9
2017-11-16,27,23,1,47,31
2017-11-17,24,11,1,28,17
2017-11-18,22,31,1,41,29
2017-11-19,34,15,1,19,8
2017-11-20,17,22,1,22,13
2017-11-21,23,20,<1,47,29
2017-11-22,16,9,<1,21,16
2017-11-23,18,19,1,51,63
2017-11-24,18,14,<1,26,17
2017-11-25,27,21,1,39,33
2017-11-26,22,21,2,36,31
2017-11-27,12,16,1,19,12
2017-11-28,14,16,<1,33,14
2017-11-29,14,21,1,17,12
2017-11-30,19,16,0,37,36
2017-12-01,36,12,1,19,15
2017-12-02,18,20,2,16,34
2017-12-03,14,10,<1,44,16
2017-12-04,15,17,1,26,34
2017-12-05,15,16,<1,31,13
2017-12-06,14,10,<1,19,33
2017-12-07,18,24,1,30,15
2017-12-08,16,10,1,22,28
2017-12-09,15,12,1,23,11
2017-12-10,18,13,1,33,35
2017-12-11,21,22,<1,33,14
2017-12-12,13,13,2,24,29
2017-12-13,23,25,1,51,17
2017-12-14,17,13,2,26,32
2017-12-15,23,27,1,40,14
2017-12-16,16,11,1,25,59
2017-12-17,12,19,1,62,44
2017-12-18,12,14,<1,32,14
2017-12-19,28,21,1,35,33
2017-12-20,13,10,1,18,13
2017-12-21,22,22,0,26,30
2017-12-22,12,10,2,71,18
2017-12-23,24,15,1,44,35
2017-12-24,25,26,1,26,40
2017-12-25,18,17,<1,100,23
2017-12-26,15,32,1,28,59
2017-12-27,19,16,1,26,16
2017-12-28,21,32,2,40,50
2017-12-29,17,28,1,29,14
2017-12-30,28,14,1,16,38
2017-12-31,21,18,1,43,17
2018-01-01,16,19,<1,22,31
2018-01-02,20,22,0,23,11
2018-01-03,24,14,1,43,11
2018-01-04,14,22,1,36,37
2018-01-05,13,13,<1,19,42
2018-01-06,21,30,1,34,13
2018-01-07,20,25,1,23,15
2018-01-08,25,14,1,34,26
2018-01-09,20,41,0,20,11
2018-01-10,14,18,1,21,30
2018-01-11,14,39,1,45,27
2018-01-12,11,15,1,20,12
2018-01-13,23,34,1,35,20
2018-01-14,17,20,1,41,19
2018-01-15,23,34,2,35,10
2018-01-16,19,17,1,18,27
2018-01-17,17,24,1,20,10
2018-01-18,21,13,2,28,24
2018-01-19,19,22,1,19,7
2018-01-20,22,14,1,42,47
2018-01-21,19,34,2,43,24
2018-01-22,17,16,1,21,12
2018-01-23,18,25,2,18,10
2018-01-24,18,18,1,31,31
2018-01-25,23,29,2,20,12
2018-01-26,15,25,1,28,36
2018-01-27,27,14,2,38,29
2018-01-28,15,24,0,19,39
2018-01-29,21,13,1,22,34
2018-01-30,29,22,1,20,18
2018-01-31,14,20,1,35,33
2018-02-01,20,15,1,39,14
2018-02-02,14,19,1,17,38
2018-02-03,21,18,2,30,32
2018-02-04,19,25,1,30,37
2018-02-05,16,14,2,17,11
2018-02-06,15,12,1,20,13
2018-02-07,22,16,1,42,62
2018-02-08,37,53,<1,40,28
2018-02-09,32,24,2,37,36
2018-02-10,39,38,1,20,16
2018-02-11,32,19,1,27,14
2018-02-12,16,24,1,26,37
2018-02-13,18,16,1,28,17
2018-02-14,18,20,1,18,43
2018-02-15,16,15,1,26,34
2018-02-16,12,28,1,11,9
2018-02-17,11,8,1,13,8
2018-02-18,9,10,<1,13,7
2018-02-19,12,11,1,13,9
2018-02-20,11,9,<1,15,7
2018-02-21,11,10,1,13,7
2018-02-22,10,8,1,19,10
2018-02-23,13,11,1,25,37
2018-02-24,15,29,1,18,15
2018-02-25,12,22,1,31,46
2018-02-26,15,9,1,19,11
2018-02-27,23,15,1,29,25
2018-02-28,15,7,1,16,10
2018-03-01,26,15,1,16,34
2018-03-02,18,23,1,16,12
2018-03-03,29,24,1,19,36
2018-03-04,31,12,2,19,30
2018-03-05,13,11,<1,17,11
2018-03-06,16,7,1,17,16
2018-03-07,20,10,1,21,29
2018-03-08,10,24,<1,12,12
2018-03-09,13,46,1,18,18
2018-03-10,11,18,1,20,15
2018-03-11,24,44,1,29,32
2018-03-12,15,19,<1,12,11
2018-03-13,14,13,2,13,23
2018-03-14,15,26,1,15,26
2018-03-15,11,13,0,9,7
2018-03-16,14,13,<1,18,14
2018-03-17,14,13,<1,14,33
2018-03-18,13,26,1,21,41
2018-03-19,10,24,<1,15,15
2018-03-20,13,14,1,18,16
2018-03-21,21,29,1,14,31
2018-03-22,21,12,2,15,7
2018-03-23,24,11,<1,11,12
2018-03-24,23,28,2,16,34
2018-03-25,21,17,1,19,20
2018-03-26,13,14,0,20,26
2018-03-27,10,30,1,22,10
2018-03-28,12,15,1,16,8
2018-03-29,19,25,2,20,10
2018-03-30,15,15,<1,12,22
2018-03-31,12,26,1,19,25
2018-04-01,14,15,1,18,18
2018-04-02,9,20,1,13,21
2018-04-03,12,13,1,11,11
2018-04-04,18,12,1,18,24
2018-04-05,21,13,<1,12,10
