Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia Sixers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2017-10-12,19,19,4,26,18
2017-10-13,22,34,3,15,9
2017-10-14,11,37,3,19,15
2017-10-15,21,25,2,19,11
2017-10-16,13,24,3,14,9
2017-10-17,16,26,1,20,6
2017-10-18,25,50,3,27,16
2017-10-19,42,48,7,71,46
2017-10-20,28,39,7,38,18
2017-10-21,25,54,4,68,36
2017-10-22,38,86,3,64,34
2017-10-23,36,35,3,92,14
2017-10-24,25,51,5,75,20
2017-10-25,15,58,2,42,36
2017-10-26,24,33,3,58,16
2017-10-27,31,46,1,23,29
2017-10-28,29,100,3,27,10
2017-10-29,40,55,4,34,25
2017-10-30,22,40,2,21,16
2017-10-31,20,50,5,29,21
2017-11-01,24,46,3,38,13
2017-11-02,23,68,3,41,29
2017-11-03,21,43,2,35,41
2017-11-04,22,58,3,32,12
2017-11-05,45,54,4,22,13
2017-11-06,35,43,4,33,31
2017-11-07,44,31,1,46,13
2017-11-08,13,38,3,36,27
2017-11-09,12,54,4,34,13
2017-11-10,18,38,4,29,10
2017-11-11,26,46,2,31,25
2017-11-12,20,44,4,28,13
2017-11-13,19,34,3,24,9
2017-11-14,26,55,5,27,21
2017-11-15,21,33,3,15,13
2017-11-16,29,41,7,24,21
2017-11-17,23,28,1,59,12
2017-11-18,23,32,2,38,19
2017-11-19,40,48,6,19,23
2017-11-20,16,30,2,30,9
2017-11-21,23,38,3,14,18
2017-11-22,16,28,3,15,9
2017-11-23,23,31,2,36,23
2017-11-24,20,26,2,17,21
2017-11-25,28,52,2,30,17
2017-11-26,28,35,5,23,22
2017-11-27,14,27,5,20,11
2017-11-28,15,32,4,24,23
2017-11-29,13,35,3,25,14
2017-11-30,27,53,5,22,13
2017-12-01,42,34,3,15,23
2017-12-02,20,54,2,31,10
2017-12-03,20,50,5,18,23
2017-12-04,19,34,2,17,9
2017-12-05,22,33,2,34,10
2017-12-06,18,28,3,37,21
2017-12-07,20,37,4,22,8
2017-12-08,18,32,6,26,11
2017-12-09,25,35,3,18,9
2017-12-10,25,24,5,26,30
2017-12-11,25,21,3,16,9
2017-12-12,15,20,2,15,24
2017-12-13,29,27,6,23,13
2017-12-14,19,27,2,21,19
2017-12-15,25,23,2,12,12
2017-12-16,21,38,5,14,21
2017-12-17,19,39,3,23,19
2017-12-18,17,28,2,18,9
2017-12-19,32,23,3,24,19
2017-12-20,20,26,2,15,15
2017-12-21,22,36,3,29,24
2017-12-22,20,28,3,30,14
2017-12-23,27,46,2,27,20
2017-12-24,30,34,2,24,22
2017-12-25,21,27,6,17,14
2017-12-26,17,37,1,22,11
2017-12-27,22,38,2,37,10
2017-12-28,32,39,2,17,12
2017-12-29,18,51,2,20,33
2017-12-30,36,44,1,30,14
2017-12-31,28,41,4,18,20
2018-01-01,17,27,6,35,17
2018-01-02,18,37,2,22,32
