Category: All categories

Day,Atlanta Hawks: (Worldwide),Washington Wizards: (Worldwide)
2017-10-12,31,21
2017-10-13,33,17
2017-10-14,22,20
2017-10-15,26,15
2017-10-16,22,23
2017-10-17,29,21
2017-10-18,39,52
2017-10-19,65,75
2017-10-20,42,34
2017-10-21,44,45
2017-10-22,52,23
2017-10-23,46,27
2017-10-24,40,54
2017-10-25,24,42
2017-10-26,38,100
2017-10-27,50,30
2017-10-28,42,92
2017-10-29,56,39
2017-10-30,34,34
2017-10-31,28,23
2017-11-01,34,33
2017-11-02,39,36
2017-11-03,30,35
2017-11-04,38,76
2017-11-05,70,32
2017-11-06,56,39
2017-11-07,62,23
2017-11-08,26,40
2017-11-09,20,27
2017-11-10,26,45
2017-11-11,39,24
2017-11-12,31,31
2017-11-13,25,25
2017-11-14,36,38
2017-11-15,30,26
2017-11-16,45,33
2017-11-17,38,27
2017-11-18,36,41
2017-11-19,59,39
2017-11-20,26,19
2017-11-21,37,31
2017-11-22,26,17
2017-11-23,33,26
2017-11-24,30,17
2017-11-25,44,24
2017-11-26,40,29
2017-11-27,21,20
2017-11-28,23,18
2017-11-29,22,35
2017-11-30,36,34
2017-12-01,63,26
2017-12-02,30,29
2017-12-03,26,18
2017-12-04,27,19
2017-12-05,29,39
2017-12-06,25,38
2017-12-07,30,21
2017-12-08,27,33
2017-12-09,31,38
2017-12-10,34,22
2017-12-11,36,16
2017-12-12,23,17
2017-12-13,41,40
2017-12-14,29,26
2017-12-15,39,19
2017-12-16,29,29
2017-12-17,25,37
2017-12-18,23,37
2017-12-19,47,24
2017-12-20,26,30
2017-12-21,35,14
2017-12-22,25,26
2017-12-23,41,39
2017-12-24,44,35
2017-12-25,31,63
2017-12-26,26,66
2017-12-27,32,23
2017-12-28,42,36
2017-12-29,28,29
2017-12-30,51,50
2017-12-31,39,45
2018-01-01,26,22
2018-01-02,31,22
2018-01-03,39,21
2018-01-04,26,33
2018-01-05,22,21
2018-01-06,38,46
2018-01-07,32,37
2018-01-08,40,19
2018-01-09,34,15
2018-01-10,22,19
2018-01-11,28,34
2018-01-12,23,28
2018-01-13,36,41
2018-01-14,28,37
2018-01-15,38,39
2018-01-16,32,20
2018-01-17,26,20
2018-01-18,34,30
2018-01-19,28,21
2018-01-20,42,37
2018-01-21,30,17
2018-01-22,26,18
2018-01-23,27,31
2018-01-24,28,23
2018-01-25,36,27
2018-01-26,27,40
2018-01-27,45,23
2018-01-28,31,33
2018-01-29,31,17
2018-01-30,45,36
2018-01-31,28,47
2018-02-01,33,27
2018-02-02,26,40
2018-02-03,39,23
2018-02-04,32,35
2018-02-05,25,20
2018-02-06,27,42
2018-02-07,42,51
2018-02-08,58,52
2018-02-09,56,53
2018-02-10,63,24
2018-02-11,51,49
2018-02-12,32,24
2018-02-13,30,23
2018-02-14,35,24
2018-02-15,29,38
2018-02-16,18,22
2018-02-17,18,14
2018-02-18,18,16
2018-02-19,20,19
2018-02-20,20,16
2018-02-21,17,17
2018-02-22,17,19
2018-02-23,24,70
2018-02-24,26,33
2018-02-25,20,24
2018-02-26,25,47
2018-02-27,43,28
2018-02-28,26,56
2018-03-01,42,55
2018-03-02,27,24
2018-03-03,48,48
2018-03-04,53,24
2018-03-05,27,26
2018-03-06,26,21
2018-03-07,33,36
2018-03-08,21,17
2018-03-09,20,19
2018-03-10,23,35
2018-03-11,42,30
2018-03-12,25,17
2018-03-13,25,25
2018-03-14,31,40
2018-03-15,18,52
2018-03-16,23,14
2018-03-17,26,19
2018-03-18,22,27
2018-03-19,16,15
2018-03-20,22,17
2018-03-21,39,21
2018-03-22,33,34
2018-03-23,38,27
2018-03-24,40,28
2018-03-25,31,28
2018-03-26,27,24
2018-03-27,16,22
2018-03-28,23,29
2018-03-29,33,24
2018-03-30,26,27
2018-03-31,27,37
2018-04-01,26,39
2018-04-02,18,22
2018-04-03,20,19
2018-04-04,34,30
2018-04-05,33,24
2018-04-06,19,52
2018-04-07,23,34
2018-04-08,32,25
2018-04-09,18,19
2018-04-10,32,28
2018-04-11,27,48
